year	id	a	인구밀도
2021	11010530	to_in_003	7167.8
2021	11010540	to_in_003	1458.6
2021	11010550	to_in_003	3972.6
2021	11010560	to_in_003	1876.5
2021	11010570	to_in_003	21059.2
2021	11010580	to_in_003	27170.2
2021	11010600	to_in_003	7231.3
2021	11010610	to_in_003	2502.4
2021	11010630	to_in_003	8012.1
2021	11010640	to_in_003	9461.4
2021	11010670	to_in_003	14246.6
2021	11010680	to_in_003	28427.5
2021	11010690	to_in_003	28840.8
2021	11010700	to_in_003	23008.6
2021	11010710	to_in_003	25267.3
2021	11010720	to_in_003	4334.3
2021	11010730	to_in_003	15573.1
2021	11020520	to_in_003	2319
2021	11020540	to_in_003	4488.6
2021	11020550	to_in_003	2428.6
2021	11020570	to_in_003	2577.9
2021	11020580	to_in_003	4389.7
2021	11020590	to_in_003	6305.6
2021	11020600	to_in_003	2766.7
2021	11020650	to_in_003	30607.5
2021	11020670	to_in_003	35978.4
2021	11020680	to_in_003	23112.5
2021	11020690	to_in_003	13333
2021	11020700	to_in_003	24745.2
2021	11020710	to_in_003	31953.2
2021	11020720	to_in_003	37200
2021	11020730	to_in_003	29785.9
2021	11030510	to_in_003	18074.7
2021	11030520	to_in_003	4386.4
2021	11030530	to_in_003	5304.6
2021	11030570	to_in_003	18153.7
2021	11030580	to_in_003	21246.9
2021	11030590	to_in_003	40151.4
2021	11030630	to_in_003	7977.4
2021	11030640	to_in_003	6344.6
2021	11030650	to_in_003	9804.9
2021	11030660	to_in_003	9206.9
2021	11030690	to_in_003	4108
2021	11030700	to_in_003	17651.5
2021	11030710	to_in_003	21003.4
2021	11030720	to_in_003	25213.3
2021	11030730	to_in_003	6856.8
2021	11030740	to_in_003	5850.9
2021	11040520	to_in_003	42196.1
2021	11040540	to_in_003	20519.3
2021	11040550	to_in_003	11834
2021	11040560	to_in_003	22809.8
2021	11040570	to_in_003	48348.8
2021	11040580	to_in_003	26118.8
2021	11040590	to_in_003	32368.2
2021	11040620	to_in_003	16219.7
2021	11040650	to_in_003	8249.1
2021	11040660	to_in_003	13261.6
2021	11040670	to_in_003	12870.1
2021	11040680	to_in_003	9881.4
2021	11040690	to_in_003	14802
2021	11040700	to_in_003	4799.7
2021	11040710	to_in_003	35736.7
2021	11040720	to_in_003	33920
2021	11040730	to_in_003	12556.8
2021	11050530	to_in_003	22228.3
2021	11050540	to_in_003	25716.6
2021	11050550	to_in_003	23941.7
2021	11050560	to_in_003	37441.1
2021	11050570	to_in_003	25430.5
2021	11050580	to_in_003	11730.8
2021	11050590	to_in_003	9929.7
2021	11050600	to_in_003	34887
2021	11050610	to_in_003	18224.6
2021	11050620	to_in_003	26155.8
2021	11050630	to_in_003	13793.1
2021	11050640	to_in_003	37191.8
2021	11050650	to_in_003	14254.5
2021	11050660	to_in_003	21638.6
2021	11050670	to_in_003	14207.2
2021	11060710	to_in_003	16008.7
2021	11060720	to_in_003	25324.2
2021	11060730	to_in_003	21047.7
2021	11060800	to_in_003	14556.1
2021	11060810	to_in_003	18145.3
2021	11060820	to_in_003	19461.3
2021	11060830	to_in_003	25631.6
2021	11060840	to_in_003	18752.7
2021	11060860	to_in_003	31013.3
2021	11060870	to_in_003	27103.8
2021	11060880	to_in_003	31555.1
2021	11060890	to_in_003	17997.5
2021	11060900	to_in_003	26733.1
