GRID_ID,P_Val,P_M,P_W,P_20_VAL,P_20_M,P_20_W,P_30_VAL,P_30_M,P_30_W,P_40_VAL,P_40_M,P_40_W,P_50_VAL,P_50_M,P_50_W,P_60_VAL,P_60_M,P_60_W,D_CSV,D_COFFEE,D_KFOOD,D_PHARM,D_SALON,SIDO_CD,SIDO_NM
다사400485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사400486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사400490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사400491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사400492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사401464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사401465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사401484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사401485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사401486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사401487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사401488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사401489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사401490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,서울특별시
다사401491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사401492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402482,154,80,74,17,8,9,16,10,6,24,14,10,30,16,14,23,12,11,0,0,0,0,0,11,서울특별시
다사402483,105,68,37,9,0,0,8,7,0,13,6,7,23,21,0,28,15,13,0,0,0,0,0,11,서울특별시
다사402484,183,96,87,25,12,13,21,14,7,20,9,11,32,16,16,48,24,24,0,0,0,0,0,11,서울특별시
다사402485,348,168,180,33,15,18,48,27,21,54,24,30,58,26,32,54,26,28,0,0,0,0,0,11,서울특별시
다사402486,98,53,45,13,6,7,14,8,6,12,6,6,17,14,0,18,9,9,0,1,0,0,0,11,서울특별시
다사402487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사402492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,서울특별시
다사402493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403471,292,154,138,32,18,14,31,19,12,40,28,12,49,27,22,77,31,46,0,0,0,0,0,11,서울특별시
다사403472,259,131,128,30,16,14,24,16,8,30,19,11,49,24,25,54,27,27,0,0,0,0,0,11,서울특별시
다사403473,140,73,67,14,10,0,16,10,6,16,9,7,27,13,14,30,16,14,0,0,0,0,0,11,서울특별시
다사403480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403481,90,46,44,10,0,6,14,8,6,15,10,0,13,0,8,26,13,13,0,0,0,0,0,11,서울특별시
다사403482,92,59,33,0,0,0,12,7,0,6,0,0,24,18,6,19,14,0,0,0,0,0,0,11,서울특별시
다사403483,337,189,148,37,19,18,49,31,18,41,21,20,59,37,22,62,38,24,0,0,0,0,0,11,서울특별시
다사403484,380,213,167,34,22,12,29,15,14,60,37,23,85,52,33,71,39,32,0,0,0,0,1,11,서울특별시
다사403485,431,237,194,47,23,24,38,21,17,44,31,13,84,47,37,87,52,35,1,0,0,0,0,11,서울특별시
다사403486,287,151,136,32,17,15,42,23,19,36,20,16,46,25,21,62,31,31,1,1,0,0,1,11,서울특별시
다사403487,283,137,146,37,18,19,36,17,19,34,13,21,41,23,18,70,35,35,0,0,1,0,0,11,서울특별시
다사403488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403490,284,132,152,53,31,22,41,20,21,28,12,16,58,27,31,48,20,28,0,0,0,0,1,11,서울특별시
다사403491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사403493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404463,654,316,338,112,57,55,29,12,17,99,40,59,144,71,73,54,27,27,0,0,0,0,0,11,서울특별시
다사404464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404471,457,232,225,53,28,25,49,25,24,67,33,34,69,43,26,99,46,53,0,0,0,0,0,11,서울특별시
다사404472,134,71,63,11,7,0,16,9,7,21,12,9,22,14,8,33,18,15,0,0,0,0,0,11,서울특별시
다사404473,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404474,105,58,47,9,7,0,15,10,0,20,13,7,15,8,7,24,11,13,0,0,0,0,0,11,서울특별시
다사404475,677,360,317,94,52,42,78,51,27,77,41,36,143,69,74,129,69,60,0,0,0,0,0,11,서울특별시
다사404480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404481,151,79,72,19,9,10,16,8,8,11,7,0,30,17,13,46,26,20,0,0,0,0,0,11,서울특별시
다사404482,405,229,176,40,21,19,54,30,24,50,29,21,81,49,32,95,55,40,1,0,0,0,0,11,서울특별시
다사404483,423,246,177,39,20,19,40,27,13,46,26,20,96,65,31,97,61,36,0,0,0,0,2,11,서울특별시
다사404484,433,246,187,42,17,25,42,32,10,44,29,15,84,54,30,114,69,45,0,0,1,0,1,11,서울특별시
다사404485,422,228,194,36,19,17,63,33,30,48,28,20,79,52,27,89,49,40,0,0,0,0,1,11,서울특별시
다사404486,272,131,141,43,26,17,48,19,29,43,19,24,50,26,24,41,22,19,0,0,1,0,2,11,서울특별시
다사404487,386,185,201,57,29,28,40,24,16,36,17,19,69,33,36,80,42,38,0,0,0,0,1,11,서울특별시
다사404488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404489,152,79,73,31,19,12,23,12,11,14,7,7,32,14,18,24,14,10,0,0,0,0,0,11,서울특별시
다사404490,58,35,23,0,0,0,8,0,0,10,8,0,13,9,0,10,6,0,1,0,0,0,0,11,서울특별시
다사404491,133,58,75,15,7,8,19,12,7,19,7,12,13,0,11,30,14,16,0,1,0,0,0,11,서울특별시
다사404492,340,184,156,70,40,30,69,44,25,45,26,19,35,11,24,42,22,20,0,0,1,0,0,11,서울특별시
다사404493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사404497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405461,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405463,472,221,251,57,27,30,38,16,22,79,32,47,83,45,38,69,37,32,0,0,0,0,0,11,서울특별시
다사405464,152,73,79,20,10,10,12,6,6,29,13,16,18,8,10,19,9,10,0,0,0,0,0,11,서울특별시
다사405465,63,36,27,0,0,0,13,6,7,10,7,0,9,0,0,7,0,0,0,0,0,0,0,11,서울특별시
다사405466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405471,276,147,129,35,18,17,27,17,10,38,22,16,37,18,19,72,39,33,0,0,0,0,1,11,서울특별시
다사405472,16,7,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사405481,98,49,49,6,0,0,0,0,0,10,8,0,10,7,0,7,0,7,0,0,0,0,0,11,서울특별시
다사405482,75,45,30,0,0,0,6,0,0,7,0,0,16,10,6,23,13,10,0,0,0,0,0,11,서울특별시
다사405483,567,325,242,61,38,23,54,24,30,71,43,28,111,72,39,133,87,46,0,0,0,0,0,11,서울특별시
다사405484,358,199,159,27,14,13,36,25,11,52,34,18,66,41,25,74,41,33,1,0,5,0,5,11,서울특별시
